,CompanyNumber,CompanyName,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,numberPrevNameChanges,NumberOfIndustires,PrimaryIndustry,date_of_insolvency_filing,auditors_resignations,director_terminations,secretaries_appointed,secretaries_terminated,directors_appointed
0,04220722,CASTLE PROPERTY MANAGEMENT AND BUILDING SERVICES LIMITED,1.0,0.0,0.0,1.0,0,2,43210 - Electrical installation,2015-09-08,1,0,0,0,0
1,11206748,CASTLE TRUST BELFRY LIMITED,2.0,0.0,0.0,2.0,1,1,64999 - Financial intermediation not elsewhere classified,2020-11-28,0,0,0,0,0
2,03010851,CASTLEGATE HIGH PARK LIMITED,3.0,1.0,0.0,2.0,2,2,62090 - Other information technology service activities,2013-04-26,0,0,0,0,0
3,04915921,CASTLEMORE RANGER (3) LIMITED,2.0,1.0,0.0,1.0,0,1,7011 - Development & sell real estate,2009-07-24,0,0,0,0,0
4,00995273,CASTLEMORE SECURITIES LIMITED,152.0,28.0,0.0,124.0,0,1,7011 - Development & sell real estate,2018-03-27,0,0,0,0,0
5,05823072,CASUAL DINING LONDON LIMITED,10.0,4.0,0.0,6.0,1,1,64209 - Activities of other holding companies n.e.c.,2020-07-14,0,2,0,1,2
6,05313454,CASUAL DINING RESTAURANTS GROUP LIMITED,14.0,4.0,0.0,10.0,2,1,56101 - Licensed restaurants,2020-07-14,0,2,0,1,2
7,03353392,CASWELL ENVIRONMENTAL SERVICES LIMITED,3.0,1.0,0.0,2.0,2,1,43290 - Other construction installation,2016-01-15,0,1,0,1,0
8,07535171,CATERHAM TECHNOLOGY AND INNOVATION LIMITED,0.0,0.0,0.0,0.0,1,2,29100 - Manufacture of motor vehicles,2017-02-06,0,1,0,0,0
9,07180438,CATH KIDSTON ACQUISITIONS LIMITED,7.0,3.0,0.0,4.0,1,1,64209 - Activities of other holding companies n.e.c.,2021-01-18,0,0,0,0,1
10,07180428,CATH KIDSTON MEZZCO LIMITED,5.0,1.0,0.0,4.0,1,1,64999 - Financial intermediation not elsewhere classified,2021-01-18,0,0,0,0,1
11,07180374,CATH KIDSTON PFSCO LIMITED,0.0,0.0,0.0,0.0,1,1,64999 - Financial intermediation not elsewhere classified,2021-01-18,0,0,0,0,0
12,02795595,CAUDWELL SUBSIDIARY HOLDINGS LIMITED,9.0,2.0,0.0,7.0,0,1,70100 - Activities of head offices,2015-01-06,0,0,0,0,0
13,02840515,CAVENDISH ADMINISTRATION LIMITED,0.0,0.0,0.0,0.0,0,1,69201 - Accounting and auditing activities,2017-02-13,0,2,0,0,2
14,00785922,CAVERSHAM FINANCE LIMITED,19.0,3.0,0.0,16.0,0,3,47540 - Retail sale of electrical household appliances in specialised stores,2020-04-21,1,8,0,1,6
15,05396147,CAVERSHAM TRADING LIMITED,8.0,1.0,0.0,7.0,1,2,47540 - Retail sale of electrical household appliances in specialised stores,2020-04-21,1,4,0,1,4
16,02249442,CAVESOLD LIMITED,2.0,2.0,0.0,0.0,0,1,4532 - Insulation work activities,1994-07-28,0,0,0,0,0
17,OC396997,CAXTON ASIA LLP,0.0,0.0,0.0,0.0,0,1,None Supplied,2020-08-20,0,0,0,0,0
18,03017060,CAZENOVE CAPITAL MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,1,1,66300 - Fund management activities,2019-09-27,0,1,0,0,0
19,03609522,CBI REALISATIONS 2020 LIMITED,32.0,9.0,0.0,23.0,1,1,46499 - Wholesale of household goods (other than musical instruments) n.e.c.,2020-12-12,0,2,0,0,1
20,00819414,CC AUTOMOTIVE GROUP LIMITED,21.0,3.0,0.0,18.0,1,1,45112 - Sale of used cars and light motor vehicles,2015-05-13,0,1,0,0,1
21,04325471,CCA DISTRIBUTION LIMITED,0.0,0.0,0.0,0.0,0,1,"5184 - Wholesale of computers, computer peripheral equipment & software",2016-06-15,0,0,0,0,0
22,01737260,CCK REALISATIONS (2019) LIMITED,11.0,3.0,0.0,8.0,1,1,20140 - Manufacture of other organic basic chemicals,2019-08-16,0,1,0,0,0
23,03023381,CD MANUFACTURING (UK) LIMITED,3.0,0.0,0.0,3.0,0,1,70221 - Financial management,2015-11-18,0,0,0,0,0
24,09018640,CE REALISATIONS LIMITED,0.0,0.0,0.0,0.0,1,1,68320 - Management of real estate on a fee or contract basis,2017-08-10,0,1,0,0,0
25,05289636,CE SECURITY LIMITED,9.0,3.0,0.0,6.0,1,1,80100 - Private security activities,2017-08-24,1,4,1,1,6
26,09381566,CEDAR 2015 LIMITED,2.0,1.0,0.0,1.0,0,1,74990 - Non-trading company,2020-02-06,0,3,0,0,3
27,03783015,CEDAR 2019 LIMITED,5.0,0.0,0.0,5.0,2,1,41100 - Development of building projects,2019-07-26,0,5,0,1,2
28,02983922,CEDARHURST LODGE LIMITED,4.0,0.0,1.0,3.0,0,1,86900 - Other human health activities,2020-03-23,0,2,0,0,1
29,SC467001,CEDERGLEN LTD,2.0,1.0,0.0,1.0,1,1,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",2019-02-19,1,1,0,0,1
30,04012089,CELEBRITY MOTION FURNITURE LIMITED,7.0,3.0,0.0,4.0,0,1,31090 - Manufacture of other furniture,2020-04-28,0,1,0,0,0
31,09819468,CELERITIFINTECH SERVICES UK LIMITED,0.0,0.0,0.0,0.0,0,1,62090 - Other information technology service activities,2020-07-08,0,1,0,0,1
32,03430071,CELINE GROUP HOLDINGS LIMITED,7.0,4.0,0.0,3.0,2,1,70100 - Activities of head offices,2020-09-14,0,7,3,4,7
33,03108165,CEM GROUP LIMITED,0.0,0.0,0.0,0.0,0,1,74990 - Non-trading company,2020-07-01,0,0,0,0,0
34,07952539,CEM PRESS HOLDINGS LIMITED,0.0,0.0,0.0,0.0,1,1,70100 - Activities of head offices,2020-07-03,0,0,0,0,0
35,09692473,CEMTEAL LIMITED,0.0,0.0,0.0,0.0,0,1,70100 - Activities of head offices,2020-07-07,0,0,0,0,0
36,SC048885,CENTRAL BUILDING CONTRACTORS (GLASGOW) LIMITED,10.0,8.0,0.0,2.0,0,2,41201 - Construction of commercial buildings,2020-05-07,0,3,0,0,1
37,00482257,CENTRAL ELECTRICAL INSTALLATIONS LIMITED,2.0,1.0,0.0,1.0,0,1,4531 - Installation electrical wiring etc.,2010-12-02,0,0,0,0,0
38,04991759,CENTRAL FACILITIES GROUP LIMITED,3.0,1.0,0.0,2.0,1,3,81100 - Combined facilities support activities,2020-12-01,0,1,0,0,0
39,05079861,CENTRAL HOUSEKEEPING LIMITED,3.0,1.0,0.0,2.0,1,1,70100 - Activities of head offices,2020-12-01,0,0,0,0,0
40,01580263,CENTRAL TRANSPORT RENTAL GROUP,18.0,0.0,0.0,18.0,0,1,82990 - Other business support service activities n.e.c.,2020-10-09,0,2,0,0,0
41,07772459,CENTRE FOR DENTISTRY LIMITED,1.0,1.0,0.0,0.0,0,1,86230 - Dental practice activities,2020-06-12,0,0,0,0,2
42,08447784,CEONA CHARTERING (UK) LIMITED,6.0,6.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2015-10-03,0,3,1,0,1
43,08473801,CEONA EQUIPMENT LIMITED,10.0,10.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2015-10-03,0,3,1,0,2
44,08474012,CEONA INVESTMENTS LIMITED,5.0,5.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2015-09-28,0,3,1,0,1
45,07792825,CEONA SERVICES (UK) LIMITED,5.0,5.0,0.0,0.0,1,1,82990 - Other business support service activities n.e.c.,2015-09-28,0,3,1,0,1
46,08447952,CEONA SHIP 1 LIMITED,16.0,16.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2015-10-03,0,3,1,0,2
47,10518119,CEPF II METEOR HAYMARKET LIMITED,0.0,0.0,0.0,0.0,0,1,64301 - Activities of investment trusts,2020-10-22,0,1,0,0,1
48,09948665,CEPF II PRESS BRISTOL LIMITED,3.0,0.0,0.0,3.0,0,1,64301 - Activities of investment trusts,2019-10-07,0,0,0,0,0
49,03650688,CERRO EXTRUDED METALS LIMITED,0.0,0.0,0.0,0.0,0,2,2745 - Other non-ferrous metal production,2007-08-08,1,0,0,0,0
50,08980821,CERTUS SOLUTIONS CONSULTING SERVICES LTD,2.0,0.0,0.0,2.0,0,1,62020 - Information technology consultancy activities,2019-11-13,0,6,1,2,5
51,04565799,CEU REALISATIONS LIMITED,8.0,2.0,0.0,6.0,1,4,25110 - Manufacture of metal structures and parts of structures,2018-09-26,0,2,0,1,0
52,03773491,CF ASSET FINANCE LIMITED,0.0,0.0,0.0,0.0,0,1,64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,2019-12-20,0,1,0,0,0
53,10371573,CF SPARKS ALTRINCHAM LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
54,10368081,CF SPARKS AYLESBURY LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
55,10368095,CF SPARKS BANBURY LIMITED,0.0,0.0,0.0,0.0,0,1,68100 - Buying and selling of own real estate,2020-06-26,0,0,0,0,0
56,10368131,CF SPARKS BEDFORD LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
57,10368204,CF SPARKS BISHOPS STORTFORD LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
58,10368265,CF SPARKS BOLTON LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2021-03-26,0,0,0,0,0
59,10368415,CF SPARKS BUXTON LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-07-04,0,0,0,0,0
60,10368413,CF SPARKS CLACTON LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
61,10368432,CF SPARKS CREWE LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
62,10368462,CF SPARKS DUMFRIES LIMITED,4.0,0.0,0.0,4.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
63,10368420,CF SPARKS GREENOCK LIMITED,3.0,0.0,0.0,3.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
64,10322773,CF SPARKS HALIFAX LIMITED,1.0,0.0,0.0,1.0,1,1,68100 - Buying and selling of own real estate,2020-06-26,0,0,0,0,0
65,10368428,CF SPARKS HORSHAM LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-26,0,0,0,0,0
66,10368442,CF SPARKS KENDAL LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
67,10368478,CF SPARKS LANCASTER LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
68,10371570,CF SPARKS LYNN LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
69,10368470,CF SPARKS NEWARK LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
70,10368473,CF SPARKS NEWPORT LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
71,10368632,CF SPARKS PONTEFRACT LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
72,10368455,CF SPARKS ROCHDALE LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
73,10368451,CF SPARKS ROMFORD LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2021-03-26,0,0,0,0,0
74,10368615,CF SPARKS STIRLING LIMITED,3.0,0.0,0.0,3.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
75,10368607,CF SPARKS SUNDERLAND LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2021-03-26,0,0,0,0,0
76,10368634,CF SPARKS SUTTON LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
77,10368610,CF SPARKS WEYMOUTH LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
78,10368630,CF SPARKS WOLVERHAMPTON LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
79,10368622,CF SPARKS WORTHING LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2021-03-26,0,0,0,0,0
80,10368631,CF SPARKS YEOVIL LIMITED,1.0,0.0,0.0,1.0,0,1,68100 - Buying and selling of own real estate,2020-06-29,0,0,0,0,0
81,01324589,CFGL REALISATIONS LIMITED,9.0,5.0,0.0,4.0,1,1,3614 - Manufacture of other furniture,2013-09-30,0,0,0,0,0
82,02059476,CFL REALISATIONS 2020 LIMITED,6.0,2.0,0.0,4.0,3,1,32990 - Other manufacturing n.e.c.,2020-10-19,0,1,0,0,0
83,06822210,CFL REALISATIONS LIMITED,5.0,1.0,0.0,4.0,3,1,47710 - Retail sale of clothing in specialised stores,2018-10-30,0,1,0,0,2
84,05600766,CFT FINANCIALS LTD.,2.0,2.0,0.0,0.0,2,1,64999 - Financial intermediation not elsewhere classified,2013-01-07,0,0,0,0,0
85,08383583,CGG (EUROPE) LIMITED,0.0,0.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2021-05-20,0,2,0,0,0
86,11027703,CGH 2020 REALISATIONS LIMITED,5.0,5.0,0.0,0.0,2,1,64202 - Activities of production holding companies,2020-07-10,0,0,1,0,0
87,00278576,CGL REALISATIONS LIMITED,10.0,5.0,0.0,5.0,1,1,47540 - Retail sale of electrical household appliances in specialised stores,2018-07-02,0,0,0,0,0
