, CompanyNumber,CompanyName,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,numberPrevNameChanges,NumberOfIndustires,PrimaryIndustry
0,04220722,CASTLE PROPERTY MANAGEMENT AND BUILDING SERVICES LIMITED,1.0,0.0,0.0,1.0,0,2,43210 - Electrical installation
1,11206748,CASTLE TRUST BELFRY LIMITED,2.0,0.0,0.0,2.0,1,1,64999 - Financial intermediation not elsewhere classified
2,03010851,CASTLEGATE HIGH PARK LIMITED,3.0,1.0,0.0,2.0,2,2,62090 - Other information technology service activities
3,04915921,CASTLEMORE RANGER (3) LIMITED,2.0,1.0,0.0,1.0,0,1,7011 - Development & sell real estate
4,00995273,CASTLEMORE SECURITIES LIMITED,152.0,28.0,0.0,124.0,0,1,7011 - Development & sell real estate
5,05823072,CASUAL DINING LONDON LIMITED,10.0,4.0,0.0,6.0,1,1,64209 - Activities of other holding companies n.e.c.
6,05313454,CASUAL DINING RESTAURANTS GROUP LIMITED,14.0,4.0,0.0,10.0,2,1,56101 - Licensed restaurants
7,03353392,CASWELL ENVIRONMENTAL SERVICES LIMITED,3.0,1.0,0.0,2.0,2,1,43290 - Other construction installation
8,07535171,CATERHAM TECHNOLOGY AND INNOVATION LIMITED,0.0,0.0,0.0,0.0,1,2,29100 - Manufacture of motor vehicles
9,07180438,CATH KIDSTON ACQUISITIONS LIMITED,7.0,3.0,0.0,4.0,1,1,64209 - Activities of other holding companies n.e.c.
10,07180428,CATH KIDSTON MEZZCO LIMITED,5.0,1.0,0.0,4.0,1,1,64999 - Financial intermediation not elsewhere classified
11,07180374,CATH KIDSTON PFSCO LIMITED,0.0,0.0,0.0,0.0,1,1,64999 - Financial intermediation not elsewhere classified
12,02795595,CAUDWELL SUBSIDIARY HOLDINGS LIMITED,9.0,2.0,0.0,7.0,0,1,70100 - Activities of head offices
