,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,pdf_page,bottom,right
0,1,1,0,0,0,0,0,0,3106,970,-1,,1,970,3106
1,2,1,1,0,0,0,440,0,2230,965,-1,,1,965,2670
2,3,1,1,1,0,0,447,0,233,60,-1,,1,60,680
3,4,1,1,1,1,0,447,0,233,60,-1,,1,60,680
4,5,1,1,1,1,1,447,0,233,60,27,a,1,60,680
5,3,1,1,2,0,0,443,246,295,39,-1,,1,285,738
6,4,1,1,2,1,0,443,246,295,39,-1,,1,285,738
7,5,1,1,2,1,1,443,246,142,39,92,Buitding,1,285,585
8,5,1,1,2,1,2,598,254,18,23,96,a,1,277,616
9,5,1,1,2,1,3,630,248,108,29,96,better,1,277,738
10,3,1,1,3,0,0,441,283,249,39,-1,,1,322,690
11,4,1,1,3,1,0,441,283,249,39,-1,,1,322,690
12,5,1,1,3,1,1,441,283,140,39,96,working,1,322,581
13,5,1,1,3,1,2,595,285,95,29,96,world,1,314,690
14,3,1,1,4,0,0,441,388,2229,157,-1,,1,545,2670
15,4,1,1,4,1,0,444,388,2226,54,-1,,1,442,2670
16,5,1,1,4,1,1,444,400,369,40,93,INDEPENDENT,1,440,813
17,5,1,1,4,1,2,831,400,281,42,0,AUDITORS,1,442,1112
18,5,1,1,4,1,3,1135,402,208,40,96,REPORT,1,442,1343
19,5,1,1,4,1,4,1361,400,66,40,96,TO,1,440,1427
20,5,1,1,4,1,5,1446,400,100,39,96,THE,1,439,1546
21,5,1,1,4,1,6,1567,400,257,40,96,MEMBERS,1,440,1824
22,5,1,1,4,1,7,1844,400,65,40,95,OF,1,440,1909
23,5,1,1,4,1,8,1930,400,62,40,96,CF,1,440,1992
24,5,1,1,4,1,9,2013,399,205,41,96,SPARKS,1,440,2218
25,5,1,1,4,1,10,2239,388,204,52,95,BOLTON,1,440,2443
26,5,1,1,4,1,11,2467,399,203,40,95,LIMITED,1,439,2670
27,4,1,1,4,2,0,441,494,185,51,-1,,1,545,626
28,5,1,1,4,2,1,441,494,185,51,95,Opinion,1,545,626
29,3,1,1,5,0,0,440,585,2216,380,-1,,1,965,2656
30,4,1,1,5,1,0,440,585,2178,56,-1,,1,641,2618
31,5,1,1,5,1,1,440,589,70,39,96,We,1,628,510
32,5,1,1,5,1,2,529,591,113,37,96,have,1,628,642
33,5,1,1,5,1,3,659,590,179,38,96,audited,1,628,838
34,5,1,1,5,1,4,855,590,77,39,96,the,1,629,932
35,5,1,1,5,1,5,951,591,201,38,96,financial,1,629,1152
36,5,1,1,5,1,6,1172,595,269,34,96,statements,1,629,1441
37,5,1,1,5,1,7,1459,589,48,39,96,of,1,628,1507
38,5,1,1,5,1,8,1522,588,61,40,95,CF,1,628,1583
39,5,1,1,5,1,9,1603,588,158,53,96,Sparks,1,641,1761
40,5,1,1,5,1,10,1783,588,151,40,44,Bolton,1,628,1934
41,5,1,1,5,1,11,1956,588,177,40,96,Limited,1,628,2133
42,5,1,1,5,1,12,2154,585,91,50,93,(the,1,635,2245
43,5,1,1,5,1,13,2263,587,268,53,0,Company),1,640,2531
44,5,1,1,5,1,14,2551,588,67,39,97,for,1,627,2618
45,4,1,1,5,2,0,440,648,2068,58,-1,,1,706,2508
46,5,1,1,5,2,1,440,655,77,38,96,the,1,693,517
47,5,1,1,5,2,2,534,665,107,41,95,year,1,706,641
48,5,1,1,5,2,3,659,655,144,38,95,ended,1,693,803
49,5,1,1,5,2,4,825,655,50,38,95,31,1,693,875
50,5,1,1,5,2,5,904,648,245,47,95,December,1,695,1149
51,5,1,1,5,2,6,1167,655,129,38,94,2019,1,693,1296
52,5,1,1,5,2,7,1314,656,137,37,96,which,1,693,1451
53,5,1,1,5,2,8,1470,656,220,50,96,comprise,1,706,1690
54,5,1,1,5,2,9,1707,655,77,38,96,the,1,693,1784
55,5,1,1,5,2,10,1804,653,250,40,96,Statement,1,693,2054
56,5,1,1,5,2,11,2072,653,49,40,96,of,1,693,2121
57,5,1,1,5,2,12,2135,652,373,53,96,Comprehensive,1,705,2508
58,4,1,1,5,3,0,443,716,2150,53,-1,,1,769,2593
59,5,1,1,5,3,1,443,717,185,45,91,Income,1,762,628
60,5,1,1,5,3,2,648,718,78,39,95,the,1,757,726
61,5,1,1,5,3,3,745,717,251,41,95,Statement,1,758,996
62,5,1,1,5,3,4,1013,720,48,38,96,of,1,758,1061
63,5,1,1,5,3,5,1079,718,209,39,93,Financial,1,757,1288
64,5,1,1,5,3,6,1309,717,205,45,91,Position,1,762,1514
65,5,1,1,5,3,7,1534,720,77,38,96,the,1,758,1611
66,5,1,1,5,3,8,1631,717,251,40,96,Statement,1,757,1882
67,5,1,1,5,3,9,1900,718,49,39,96,of,1,757,1949
68,5,1,1,5,3,10,1964,716,206,53,95,Changes,1,769,2170
69,5,1,1,5,3,11,2189,717,38,37,95,in,1,754,2227
70,5,1,1,5,3,12,2249,717,147,52,95,Equity,1,769,2396
71,5,1,1,5,3,13,2414,717,85,40,96,and,1,757,2499
72,5,1,1,5,3,14,2517,718,76,38,96,the,1,756,2593
